path,raw_output,true_class_id,true_class_name,predicted_class_id,predicted_class_name
Akarna_Dhanurasana/16.jpg,"Description: The image depicts a person performing the Purna Akarna Dhanurasana, also known as the Full Arm Wheel Pose. This pose involves sitting on the floor with legs extended forward and arms reaching back to grasp the feet. The body forms an arch or wheel shape, with the chest lifted upward and the head slightly tilted backward.

Predicted Yoga Pose: Akarna Dhanurasana",0,Akarna Dhanurasana,0,Akarna Dhanurasana
Akarna_Dhanurasana/95.jpg,"Description: The image shows a sequence of three yoga poses performed by an individual. In the first pose, the person is seated with legs extended forward and one leg bent at the knee while reaching towards the foot to stretch the hamstring muscles. This pose focuses on flexibility in the hamstrings.

In the second pose, the same individual has both legs straightened out horizontally behind them, maintaining balance without touching the ground or using hands for support. Both arms are raised above the head, possibly engaging core strength and stability.

In the third pose, the individual transitions into what appears to be a reclined position where they reach back over their right shoulder, grabbing the opposite elbow, indicating a twist that involves spinal rotation. This posture likely targets the spine's flexibility and mobility.

Predicted Yoga Pose: Boat Pose

The most appropriate name from the provided list seems to be ""Boat Pose"" (Navasana), which aligns well with the described movements focusing on balancing and core engagement throughout these sequences.",0,Akarna Dhanurasana,2,Boat Pose
Akarna_Dhanurasana/263.jpg,"Description: The person in the image is performing a yoga pose on their side. They are lying on one elbow with legs extended and feet flexed, holding onto an elephant statue's trunk. This position resembles the ""Side Plank Pose"" (Vasisthasana) but appears to be modified due to the presence of the object.

Predicted Yoga Pose: Side Plank Pose",0,Akarna Dhanurasana,54,Side-Reclining Leg Lift Pose
Akarna_Dhanurasana/110.jpg,"Description: The image shows a series of vertical color bars in various colors, including light blue, white, red, yellow, dark blue, black, maroon, and lime green. There is no depiction of any body position or yoga pose as the content consists solely of colored stripes.

Predicted Yoga Pose: None applicable

The image does not contain any representation of human figures or poses that could be associated with specific yoga classes listed in the provided options. Therefore, it cannot be matched to any of the 82 yoga pose classes mentioned.",0,Akarna Dhanurasana,Bilinmiyor,Bilinmiyor
Akarna_Dhanurasana/21.jpg,"Description: The individual is in a seated position with legs extended straight out. Both arms are reaching towards the feet, creating an arch over the back. This pose emphasizes flexibility and balance.

Predicted Yoga Pose: Wide-Legged Forward Bend

Explanation: Based on the description of the body position and posture features observed in the image, the most appropriate yoga pose name from the provided list would be ""Wide-Legged Forward Bend."" This pose involves sitting down with legs spread apart while leaning forward to touch or reach for the feet, which matches the described actions in the image.",0,Akarna Dhanurasana,77,Wide-Legged Forward Bend
Akarna_Dhanurasana/55.jpg,"Description: The individual is performing a yoga pose that involves balancing on one leg while holding the other foot with both hands. This posture requires significant balance, flexibility, and core strength.

Predicted Yoga Pose: Half Moon Pose (Ardha Chandrasana)",0,Akarna Dhanurasana,30,Half Lord of the Fishes Pose
Akarna_Dhanurasana/34.jpg,"Description: The individual in the image is performing a yoga pose that involves sitting on one leg with the other leg extended outwards. The torso is leaning forward, and the arms are positioned behind the head, creating an arch or bridge-like shape between the back and the thighs of the raised leg. This posture emphasizes flexibility and strength in the spine and hamstrings.

Predicted Yoga Pose: Wide-Legged Forward Bend

The described pose closely matches the characteristics of ""Wide-Legged Forward Bend,"" also known as Upavistha Konasana in Sanskrit. In this pose, the practitioner sits with legs wide apart, leans forward from the hips, and extends their arms over their legs to touch the feet, which aligns well with the position observed in the image.",0,Akarna Dhanurasana,77,Wide-Legged Forward Bend
Akarna_Dhanurasana/107.jpg,"Description: The individual is seated on a yoga mat with legs extended straight back. They are reaching forward, grasping their feet or ankles with both hands while leaning backward at an angle. This pose resembles the ""Reclining Pigeon Pose"" (Supta Virasana) but without resting the head and neck on the ground.

Predicted Yoga Pose: Reclining Pigeon Pose

This description aligns closely with the listed options as it involves a reclined position with one leg stretched out in front and the other bent behind, which matches elements of Supta Virasana. However, since the body does not fully rest horizontally against the ground, it differs slightly from traditional interpretations, leading to this specific identification.",0,Akarna Dhanurasana,48,Reclining Hand-to-Big-Toe Pose
Akarna_Dhanurasana/92.jpg,HATA: cannot identify image file '/home/gpu1/computer_vision/micro-action-recognition/Yoga-82/dataset/Akarna_Dhanurasana/92.jpg',0,Akarna Dhanurasana,Bilinmiyor,Bilinmiyor
Akarna_Dhanurasana/39.jpg,"Description: The individual is performing a yoga pose that involves sitting on the ground with one leg extended straight out and the other bent, bringing the foot towards the opposite shoulder. This posture requires balance and flexibility in both legs and core strength to maintain stability.

Predicted Yoga Pose: Boat Pose

The distinctive features of this pose include:
- One leg extended forward
- Other leg bent at the knee with the foot held near or touching the opposite shoulder
- Upper body upright with hands reaching toward the lifted foot

This description closely matches the characteristics of the ""Boat Pose"" (Navasana), which emphasizes balancing while engaging the core muscles.",0,Akarna Dhanurasana,2,Boat Pose
