Sınıf ID,Sınıf Adı,Başarı Oranı (%),Doğru Tahmin,Toplam Örnek,En Sık Yapılan Hatalar (Top 5)
0,Akarna Dhanurasana,0.00,0,23,"Sınıf Bilinmiyor (13), Extended Puppy Pose (3), Half Lord of the Fishes Pose (2), Reclining Hand-to-Big-Toe Pose (2), Upward Bow (Wheel) Pose (1)"
1,Bharadvaja's Twist,0.00,0,16,"Sınıf Bilinmiyor (11), Chair Pose (2), Seated Forward Bend (1), Half Lord of the Fishes Pose (1), Wide-Legged Forward Bend (1)"
2,Boat Pose,3.26,3,92,"Sınıf Bilinmiyor (42), Plank Pose (6), Extended Puppy Pose (6), Half Lord of the Fishes Pose (5), Chair Pose (4)"
3,Bound Angle Pose,4.62,3,65,"Sınıf Bilinmiyor (35), Half Lord of the Fishes Pose (5), Chair Pose (5), Extended Puppy Pose (4), Plow Pose (3)"
4,Bow Pose,8.00,4,50,"Sınıf Bilinmiyor (21), Extended Puppy Pose (4), Half Lord of the Fishes Pose (3), Downward-Facing Dog (3), Eagle Pose (3)"
5,Bridge Pose,14.04,8,57,"Sınıf Bilinmiyor (33), Wide-Legged Forward Bend (2), Handstand Pose (2), Cockerel Pose (1), Frog Pose (1)"
6,Camel Pose,8.00,6,75,"Sınıf Bilinmiyor (40), Low Lunge Pose (5), Chair Pose (3), Standing Forward Bend (2), Bound Angle Pose (2)"
7,Cat Cow Pose,3.19,3,94,"Sınıf Bilinmiyor (43), Plank Pose (5), Half Lord of the Fishes Pose (5), Extended Puppy Pose (5), Low Lunge Pose (4)"
8,Chair Pose,7.58,5,66,"Sınıf Bilinmiyor (35), Extended Puppy Pose (4), Bridge Pose (3), Standing Forward Bend (3), Handstand Pose (2)"
9,Child Pose,0.00,0,72,"Sınıf Bilinmiyor (36), Bound Angle Pose (7), Bow Pose (6), Downward-Facing Dog (5), Extended Puppy Pose (4)"
10,Cobra Pose,4.66,9,193,"Sınıf Bilinmiyor (86), Extended Puppy Pose (20), Half Lord of the Fishes Pose (13), Downward-Facing Dog (11), Eagle Pose (10)"
11,Cockerel Pose,2.63,1,38,"Sınıf Bilinmiyor (18), Extended Puppy Pose (4), Eagle Pose (3), Handstand Pose (2), Bound Angle Pose (2)"
12,Corpse Pose,5.66,3,53,"Sınıf Bilinmiyor (26), Extended Puppy Pose (6), Bound Angle Pose (4), Plank Pose (2), Bridge Pose (2)"
13,Cow Face Pose,3.03,2,66,"Sınıf Bilinmiyor (32), Cockerel Pose (4), Wide-Legged Forward Bend (4), Extended Puppy Pose (3), Chair Pose (3)"
14,Crane (Crow) Pose,2.15,2,93,"Sınıf Bilinmiyor (44), Handstand Pose (21), Standing Forward Bend (3), Eagle Pose (3), Extended Puppy Pose (3)"
15,Dolphin Plank Pose,0.00,0,10,"Sınıf Bilinmiyor (7), Plank Pose (3)"
16,Dolphin Pose,0.00,0,16,"Sınıf Bilinmiyor (8), Downward-Facing Dog (2), Bound Angle Pose (1), Easy Sitting Pose (1), Plow Pose (1)"
17,Downward-Facing Dog,19.05,12,63,"Sınıf Bilinmiyor (29), Handstand Pose (5), Bow Pose (3), Plank Pose (3), Easy Sitting Pose (2)"
18,Eagle Pose,8.45,6,71,"Sınıf Bilinmiyor (39), Chair Pose (5), Standing Forward Bend (4), Extended Puppy Pose (3), Warrior III Pose (3)"
19,Eight-Angle Pose,1.85,1,54,"Handstand Pose (21), Sınıf Bilinmiyor (16), Plank Pose (3), Chair Pose (2), Downward-Facing Dog (2)"
20,Extended Puppy Pose,0.00,0,14,"Sınıf Bilinmiyor (5), Bound Angle Pose (2), Half Lord of the Fishes Pose (1), Cobra Pose (1), Bow Pose (1)"
21,Extended Side Angle Pose,0.00,0,131,"Sınıf Bilinmiyor (65), Eagle Pose (11), Plank Pose (8), Standing Forward Bend (8), Extended Puppy Pose (7)"
22,Extended Triangle Pose,0.00,0,134,"Sınıf Bilinmiyor (63), Eagle Pose (10), Standing Forward Bend (9), Extended Puppy Pose (7), Downward-Facing Dog (6)"
23,Feathered Peacock Pose,0.00,0,50,"Sınıf Bilinmiyor (18), Handstand Pose (16), Standing Forward Bend (4), Half Lord of the Fishes Pose (2), Heron Pose (2)"
24,Firefly Pose,0.00,0,55,"Sınıf Bilinmiyor (20), Handstand Pose (7), Standing Forward Bend (6), Half Lord of the Fishes Pose (5), Plank Pose (4)"
25,Fish Pose,4.23,3,71,"Sınıf Bilinmiyor (30), Extended Puppy Pose (7), Half Lord of the Fishes Pose (5), Eagle Pose (5), Downward-Facing Dog (3)"
26,Four-Limbed Staff Pose,3.85,2,52,"Plank Pose (25), Sınıf Bilinmiyor (20), Camel Pose (1), Eagle Pose (1), Downward-Facing Dog (1)"
27,Frog Pose,0.00,0,45,"Sınıf Bilinmiyor (21), Extended Puppy Pose (5), Half Lord of the Fishes Pose (4), Bound Angle Pose (3), Bridge Pose (3)"
28,Garland Pose,0.00,0,59,"Sınıf Bilinmiyor (27), Bow Pose (9), Cockerel Pose (4), Low Lunge Pose (4), Chair Pose (2)"
29,Gate Pose,0.00,0,29,"Sınıf Bilinmiyor (16), Half Lord of the Fishes Pose (2), Wide-Legged Forward Bend (2), Plank Pose (2), Handstand Pose (1)"
30,Half Lord of the Fishes Pose,8.75,7,80,"Sınıf Bilinmiyor (34), Chair Pose (12), Extended Puppy Pose (4), Standing Forward Bend (3), Bow Pose (3)"
31,Half Moon Pose,0.00,0,59,"Sınıf Bilinmiyor (30), Half Lord of the Fishes Pose (6), Standing Forward Bend (4), Handstand Pose (4), Eagle Pose (3)"
32,Handstand Pose,34.00,17,50,"Sınıf Bilinmiyor (16), Half Lord of the Fishes Pose (5), Standing Forward Bend (4), Chair Pose (2), Downward-Facing Dog (2)"
33,Happy Baby Pose,8.57,3,35,"Sınıf Bilinmiyor (15), Half Lord of the Fishes Pose (3), Eagle Pose (3), Downward-Facing Dog (3), Extended Puppy Pose (2)"
34,Head-to-Knee Forward Bend,0.00,0,49,"Sınıf Bilinmiyor (20), Wide-Legged Forward Bend (5), Bound Angle Pose (4), Half Lord of the Fishes Pose (4), Cockerel Pose (4)"
35,Heron Pose,0.00,0,37,"Sınıf Bilinmiyor (24), Chair Pose (4), Half Lord of the Fishes Pose (3), Standing Forward Bend (2), Downward-Facing Dog (1)"
36,Intense Side Stretch Pose,0.00,0,40,"Sınıf Bilinmiyor (20), Extended Puppy Pose (3), Handstand Pose (3), Eagle Pose (2), Plow Pose (2)"
37,Legs-Up-the-Wall Pose,0.00,0,51,"Sınıf Bilinmiyor (22), Extended Puppy Pose (7), Bound Angle Pose (3), Chair Pose (3), Wide-Legged Forward Bend (2)"
38,Locust Pose,2.04,1,49,"Sınıf Bilinmiyor (22), Extended Puppy Pose (5), Downward-Facing Dog (5), Eagle Pose (4), Bridge Pose (3)"
39,Lord of the Dance Pose,0.00,0,105,"Sınıf Bilinmiyor (49), Handstand Pose (8), Standing Forward Bend (6), Half Lord of the Fishes Pose (5), Extended Puppy Pose (5)"
40,Low Lunge Pose,3.03,2,66,"Sınıf Bilinmiyor (32), Standing Forward Bend (5), Chair Pose (5), Downward-Facing Dog (3), Plow Pose (3)"
41,Noose Pose,0.00,0,10,"Sınıf Bilinmiyor (4), Cockerel Pose (1), Extended Puppy Pose (1), Chair Pose (1), Plank Pose (1)"
42,Peacock Pose,0.00,0,40,"Sınıf Bilinmiyor (19), Handstand Pose (9), Plow Pose (4), Plank Pose (3), Side-Reclining Leg Lift Pose (1)"
43,Pigeon Pose,0.00,0,10,"Sınıf Bilinmiyor (2), Low Lunge Pose (2), Chair Pose (2), Half Lord of the Fishes Pose (1), Plow Pose (1)"
44,Plank Pose,50.00,7,14,"Sınıf Bilinmiyor (6), Bridge Pose (1)"
45,Plow Pose,2.74,2,73,"Sınıf Bilinmiyor (22), Extended Puppy Pose (8), Chair Pose (6), Downward-Facing Dog (5), Half Lord of the Fishes Pose (5)"
46,Sage Koundinya Pose,0.00,0,38,"Sınıf Bilinmiyor (15), Handstand Pose (6), Plank Pose (3), Cockerel Pose (2), Half Lord of the Fishes Pose (2)"
47,King Pigeon Pose,0.00,0,59,"Sınıf Bilinmiyor (25), Half Lord of the Fishes Pose (6), Downward-Facing Dog (3), Seated Forward Bend (3), Eagle Pose (3)"
48,Reclining Hand-to-Big-Toe Pose,0.00,0,37,"Sınıf Bilinmiyor (20), Bound Angle Pose (4), Eagle Pose (3), Wide-Legged Forward Bend (3), Plow Pose (2)"
49,Revolved Head-to-Knee Pose,1.92,1,52,"Sınıf Bilinmiyor (17), Extended Puppy Pose (7), Downward-Facing Dog (5), Bound Angle Pose (4), Chair Pose (4)"
50,Scale Pose,2.70,1,37,"Sınıf Bilinmiyor (21), Chair Pose (4), Bound Angle Pose (3), Extended Puppy Pose (3), Downward-Facing Dog (1)"
51,Scorpion Pose,1.72,1,58,"Handstand Pose (32), Sınıf Bilinmiyor (16), Standing Forward Bend (2), Heron Pose (2), Plow Pose (1)"
