Sınıf ID,Sınıf Adı,Başarı Oranı (%),Doğru Tahmin,Toplam Örnek,En Sık Yapılan Hatalar (Top 5)
0,Akarna Dhanurasana,13.04,3,23,"Wide-Legged Forward Bend (6), Reclining Hand-to-Big-Toe Pose (5), Boat Pose (2), Sınıf Bilinmiyor (2), Wide Angle Seated Forward Bend (2)"
1,Bharadvaja's Twist,12.50,2,16,"Seated Forward Bend (7), Bound Angle Pose (3), Easy Sitting Pose (1), Wide Angle Seated Forward Bend (1), Sınıf Bilinmiyor (1)"
2,Boat Pose,89.13,82,92,"Sınıf Bilinmiyor (2), Corpse Pose (2), Eagle Pose (1), Scorpion Pose (1), Wide-Legged Forward Bend (1)"
3,Bound Angle Pose,12.31,8,65,"Seated Forward Bend (25), Wide-Legged Forward Bend (10), Sınıf Bilinmiyor (9), Wide Angle Seated Forward Bend (6), Easy Sitting Pose (4)"
4,Bow Pose,20.00,10,50,"Boat Pose (20), Camel Pose (8), Sınıf Bilinmiyor (6), Reclining Hand-to-Big-Toe Pose (2), Bound Angle Pose (1)"
5,Bridge Pose,56.14,32,57,"Boat Pose (9), Sınıf Bilinmiyor (4), Corpse Pose (2), Camel Pose (2), Bow Pose (2)"
6,Camel Pose,69.33,52,75,"Sınıf Bilinmiyor (8), Wide-Legged Forward Bend (3), Bow Pose (2), Intense Side Stretch Pose (2), Bound Angle Pose (1)"
7,Cat Cow Pose,7.45,7,94,"Camel Pose (44), Cobra Pose (17), Extended Puppy Pose (7), Bridge Pose (5), Low Lunge Pose (3)"
8,Chair Pose,36.36,24,66,"Low Lunge Pose (10), Sınıf Bilinmiyor (8), Camel Pose (6), Wide-Legged Forward Bend (5), Bow Pose (5)"
9,Child Pose,22.22,16,72,"Sınıf Bilinmiyor (14), Camel Pose (11), Cobra Pose (6), Wide-Legged Forward Bend (6), Seated Forward Bend (5)"
10,Cobra Pose,50.26,97,193,"Camel Pose (31), Sınıf Bilinmiyor (17), Dolphin Plank Pose (10), Upward Bow (Wheel) Pose (7), Bridge Pose (6)"
11,Cockerel Pose,5.26,2,38,"Bow Pose (5), Low Lunge Pose (5), Camel Pose (3), Bound Angle Pose (3), Wide-Legged Forward Bend (3)"
12,Corpse Pose,67.92,36,53,"Sınıf Bilinmiyor (11), Reclining Hand-to-Big-Toe Pose (2), Upward Bow (Wheel) Pose (2), Wide-Legged Forward Bend (1), Legs-Up-the-Wall Pose (1)"
13,Cow Face Pose,7.58,5,66,"Seated Forward Bend (16), Wide-Legged Forward Bend (11), Sınıf Bilinmiyor (7), Camel Pose (5), Bound Angle Pose (4)"
14,Crane (Crow) Pose,11.83,11,93,"Camel Pose (19), Sınıf Bilinmiyor (16), Intense Side Stretch Pose (7), Bow Pose (6), Cockerel Pose (6)"
15,Dolphin Plank Pose,50.00,5,10,"Sınıf Bilinmiyor (4), Cobra Pose (1)"
16,Dolphin Pose,0.00,0,16,"Camel Pose (7), Bridge Pose (2), Sınıf Bilinmiyor (2), Seated Forward Bend (1), Extended Puppy Pose (1)"
17,Downward-Facing Dog,15.87,10,63,"Camel Pose (39), Cobra Pose (4), Sınıf Bilinmiyor (3), Extended Puppy Pose (2), Bow Pose (2)"
18,Eagle Pose,7.04,5,71,"Sınıf Bilinmiyor (23), Half Lord of the Fishes Pose (18), Low Lunge Pose (6), Chair Pose (6), Tree Pose (4)"
19,Eight-Angle Pose,7.41,4,54,"Sınıf Bilinmiyor (12), Cockerel Pose (9), Dolphin Plank Pose (8), Cobra Pose (4), Half Lord of the Fishes Pose (3)"
20,Extended Puppy Pose,7.14,1,14,"Camel Pose (7), Cobra Pose (4), Legs-Up-the-Wall Pose (1), Bridge Pose (1)"
21,Extended Side Angle Pose,0.00,0,131,"Extended Puppy Pose (92), Side-Reclining Leg Lift Pose (15), Sınıf Bilinmiyor (11), Low Lunge Pose (6), Dolphin Plank Pose (2)"
22,Extended Triangle Pose,0.00,0,134,"Extended Puppy Pose (114), Sınıf Bilinmiyor (11), Camel Pose (4), Intense Side Stretch Pose (2), Downward-Facing Dog (1)"
23,Feathered Peacock Pose,2.00,1,50,"Handstand Pose (30), Headstand Pose (6), Crane (Crow) Pose (5), Sınıf Bilinmiyor (4), Bridge Pose (1)"
24,Firefly Pose,0.00,0,55,"Sınıf Bilinmiyor (12), Intense Side Stretch Pose (7), Extended Puppy Pose (5), Dolphin Plank Pose (4), Bow Pose (4)"
25,Fish Pose,9.86,7,71,"Camel Pose (17), Cobra Pose (10), Sınıf Bilinmiyor (8), Reclining Hand-to-Big-Toe Pose (5), Boat Pose (4)"
26,Four-Limbed Staff Pose,5.77,3,52,"Dolphin Plank Pose (34), Cobra Pose (9), Sınıf Bilinmiyor (3), Bridge Pose (1), Plank Pose (1)"
27,Frog Pose,0.00,0,45,"Boat Pose (8), Cobra Pose (6), Reclining Hand-to-Big-Toe Pose (5), Bridge Pose (4), Camel Pose (4)"
28,Garland Pose,6.78,4,59,"Low Lunge Pose (13), Wide-Legged Forward Bend (11), Sınıf Bilinmiyor (11), Bound Angle Pose (4), Chair Pose (3)"
29,Gate Pose,3.45,1,29,"Extended Puppy Pose (17), Low Lunge Pose (4), Wide-Legged Forward Bend (3), Half Lord of the Fishes Pose (1), Camel Pose (1)"
30,Half Lord of the Fishes Pose,8.75,7,80,"Seated Forward Bend (23), Boat Pose (10), Bound Angle Pose (9), Sınıf Bilinmiyor (6), Wide-Legged Forward Bend (5)"
31,Half Moon Pose,0.00,0,59,"Extended Puppy Pose (16), Half Lord of the Fishes Pose (14), Sınıf Bilinmiyor (11), Crane (Crow) Pose (7), Handstand Pose (4)"
32,Handstand Pose,62.00,31,50,"Headstand Pose (8), Crane (Crow) Pose (5), Sınıf Bilinmiyor (3), Shoulder-Pressing Pose (1), Chair Pose (1)"
33,Happy Baby Pose,8.57,3,35,"Boat Pose (14), Reclining Hand-to-Big-Toe Pose (6), Sınıf Bilinmiyor (4), Bridge Pose (2), Camel Pose (2)"
34,Head-to-Knee Forward Bend,8.16,4,49,"Wide-Legged Forward Bend (13), Seated Forward Bend (9), Reclining Hand-to-Big-Toe Pose (8), Sınıf Bilinmiyor (3), Wide Angle Seated Forward Bend (3)"
35,Heron Pose,0.00,0,37,"Wide-Legged Forward Bend (7), Bow Pose (7), Seated Forward Bend (5), Boat Pose (5), Low Lunge Pose (3)"
36,Intense Side Stretch Pose,5.00,2,40,"Camel Pose (16), Extended Puppy Pose (14), Wide-Legged Forward Bend (4), Sınıf Bilinmiyor (2), Low Lunge Pose (1)"
37,Legs-Up-the-Wall Pose,47.06,24,51,"Sınıf Bilinmiyor (6), Boat Pose (6), Corpse Pose (3), Reclining Hand-to-Big-Toe Pose (3), Bound Angle Pose (3)"
38,Locust Pose,6.12,3,49,"Boat Pose (25), Bridge Pose (5), Cobra Pose (5), Sınıf Bilinmiyor (4), Scorpion Pose (2)"
39,Lord of the Dance Pose,0.95,1,105,"Half Lord of the Fishes Pose (28), Extended Puppy Pose (25), Sınıf Bilinmiyor (18), Crane (Crow) Pose (10), Intense Side Stretch Pose (7)"
40,Low Lunge Pose,37.88,25,66,"Extended Puppy Pose (24), Camel Pose (5), Wide-Legged Forward Bend (4), Sınıf Bilinmiyor (4), Eagle Pose (1)"
41,Noose Pose,0.00,0,10,"Wide-Legged Forward Bend (5), Seated Forward Bend (2), Bound Angle Pose (2), Low Lunge Pose (1)"
42,Peacock Pose,2.50,1,40,"Dolphin Plank Pose (13), Sınıf Bilinmiyor (9), Handstand Pose (3), Crane (Crow) Pose (3), Cockerel Pose (3)"
43,Pigeon Pose,0.00,0,10,"Bow Pose (5), Camel Pose (4), Revolved Head-to-Knee Pose (1)"
44,Plank Pose,0.00,0,14,"Dolphin Plank Pose (12), Sınıf Bilinmiyor (2)"
45,Plow Pose,13.70,10,73,"Camel Pose (24), Bridge Pose (13), Bow Pose (6), Boat Pose (5), Extended Puppy Pose (3)"
46,Sage Koundinya Pose,0.00,0,38,"Crane (Crow) Pose (9), Dolphin Plank Pose (9), Sınıf Bilinmiyor (5), Cockerel Pose (4), Side-Reclining Leg Lift Pose (2)"
47,King Pigeon Pose,0.00,0,59,"Seated Forward Bend (10), Camel Pose (10), Bow Pose (9), Wide-Legged Forward Bend (5), Extended Puppy Pose (4)"
48,Reclining Hand-to-Big-Toe Pose,29.73,11,37,"Boat Pose (8), Sınıf Bilinmiyor (4), Bow Pose (3), Bound Angle Pose (3), Corpse Pose (2)"
49,Revolved Head-to-Knee Pose,1.92,1,52,"Reclining Hand-to-Big-Toe Pose (13), Seated Forward Bend (8), Wide-Legged Forward Bend (6), Camel Pose (6), Bound Angle Pose (4)"
50,Scale Pose,8.11,3,37,"Sınıf Bilinmiyor (7), Bound Angle Pose (6), Seated Forward Bend (6), Easy Sitting Pose (4), Boat Pose (2)"
51,Scorpion Pose,8.62,5,58,"Handstand Pose (25), Crane (Crow) Pose (14), Camel Pose (4), Sınıf Bilinmiyor (2), Cockerel Pose (2)"
52,Seated Forward Bend,34.09,30,88,"Wide-Legged Forward Bend (20), Reclining Hand-to-Big-Toe Pose (8), Sınıf Bilinmiyor (7), Wide Angle Seated Forward Bend (5), Child Pose (4)"
53,Shoulder-Pressing Pose,0.00,0,22,"Wide-Legged Forward Bend (7), Low Lunge Pose (5), Bound Angle Pose (5), Intense Side Stretch Pose (1), Sınıf Bilinmiyor (1)"
54,Side-Reclining Leg Lift Pose,7.69,1,13,"Extended Puppy Pose (3), Boat Pose (3), Reclining Hand-to-Big-Toe Pose (2), Wind Relieving Pose (1), Legs-Up-the-Wall Pose (1)"
55,Side Crane (Crow) Pose,0.00,0,45,"Dolphin Plank Pose (9), Cockerel Pose (5), Cobra Pose (5), Handstand Pose (4), Sınıf Bilinmiyor (4)"
56,Side Plank Pose,0.00,0,71,"Extended Puppy Pose (18), Dolphin Plank Pose (17), Side-Reclining Leg Lift Pose (14), Sınıf Bilinmiyor (13), Crane (Crow) Pose (2)"
57,Easy Sitting Pose,19.87,31,156,"Seated Forward Bend (60), Sınıf Bilinmiyor (44), Bound Angle Pose (5), Wide-Legged Forward Bend (4), Half Lord of the Fishes Pose (3)"
58,Split Pose,21.69,18,83,"Wide-Legged Forward Bend (29), Extended Puppy Pose (13), Sınıf Bilinmiyor (6), Seated Forward Bend (4), Wide Angle Seated Forward Bend (3)"
59,Staff Pose,0.00,0,17,"Seated Forward Bend (6), Wide-Legged Forward Bend (4), Bound Angle Pose (2), Wide Angle Seated Forward Bend (2), Bow Pose (1)"
60,Standing Forward Bend,3.03,3,99,"Camel Pose (37), Sınıf Bilinmiyor (25), Wide-Legged Forward Bend (12), Bow Pose (9), Extended Puppy Pose (3)"
