Sınıf ID,Sınıf Adı,Başarı Oranı (%),Doğru Tahmin,Toplam Örnek,En Sık Yapılan Hatalar (Top 5)
0,Akarna Dhanurasana,13.04,3,23,"Bound Angle Pose (7), Sınıf Bilinmiyor (4), Camel Pose (2), Bow Pose (2), Split Pose (1)"
1,Bharadvaja's Twist,12.50,2,16,"Bound Angle Pose (7), Seated Forward Bend (3), Half Lord of the Fishes Pose (2), Garland Pose (1), Child Pose (1)"
2,Boat Pose,42.39,39,92,"Bound Angle Pose (15), Sınıf Bilinmiyor (6), Bridge Pose (4), Split Pose (4), Happy Baby Pose (3)"
3,Bound Angle Pose,69.23,45,65,"Sınıf Bilinmiyor (5), Child Pose (5), Seated Forward Bend (5), Happy Baby Pose (3), Easy Sitting Pose (1)"
4,Bow Pose,34.00,17,50,"Bound Angle Pose (15), Sınıf Bilinmiyor (7), Reclining Hand-to-Big-Toe Pose (2), Boat Pose (2), Intense Side Stretch Pose (1)"
5,Bridge Pose,45.61,26,57,"Bow Pose (12), Sınıf Bilinmiyor (4), Reclining Hand-to-Big-Toe Pose (2), Shoulder-Pressing Pose (2), Crane (Crow) Pose (2)"
6,Camel Pose,54.67,41,75,"Bow Pose (22), Sınıf Bilinmiyor (7), Bound Angle Pose (2), Fish Pose (1), Reverse Warrior Pose (1)"
7,Cat Cow Pose,6.38,6,94,"Dolphin Plank Pose (16), Bow Pose (15), Plank Pose (10), Low Lunge Pose (10), Downward-Facing Dog (7)"
8,Chair Pose,51.52,34,66,"Sınıf Bilinmiyor (9), Warrior III Pose (7), Bow Pose (5), Extended Puppy Pose (3), Crane (Crow) Pose (2)"
9,Child Pose,55.56,40,72,"Sınıf Bilinmiyor (6), Bow Pose (6), Bound Angle Pose (5), Peacock Pose (3), Happy Baby Pose (3)"
10,Cobra Pose,6.22,12,193,"Camel Pose (41), Plank Pose (30), Extended Puppy Pose (24), Dolphin Plank Pose (23), Sınıf Bilinmiyor (16)"
11,Cockerel Pose,5.26,2,38,"Bow Pose (8), Bound Angle Pose (7), Heron Pose (4), Sınıf Bilinmiyor (4), Peacock Pose (3)"
12,Corpse Pose,83.02,44,53,Sınıf Bilinmiyor (9)
13,Cow Face Pose,7.58,5,66,"Bound Angle Pose (13), Seated Forward Bend (12), Shoulder-Pressing Pose (10), Sınıf Bilinmiyor (9), Camel Pose (3)"
14,Crane (Crow) Pose,33.33,31,93,"Bow Pose (31), Sınıf Bilinmiyor (13), Handstand Pose (6), Dolphin Plank Pose (3), Upward Bow (Wheel) Pose (2)"
15,Dolphin Plank Pose,20.00,2,10,"Sınıf Bilinmiyor (4), Plank Pose (4)"
16,Dolphin Pose,0.00,0,16,"Bow Pose (10), Sınıf Bilinmiyor (2), Standing Forward Bend (1), Bridge Pose (1), Dolphin Plank Pose (1)"
17,Downward-Facing Dog,17.46,11,63,"Bow Pose (34), Camel Pose (7), Sınıf Bilinmiyor (3), Standing Forward Bend (2), Peacock Pose (1)"
18,Eagle Pose,7.04,5,71,"Tree Pose (26), Crane (Crow) Pose (21), Chair Pose (12), Warrior III Pose (2), Sınıf Bilinmiyor (2)"
19,Eight-Angle Pose,7.41,4,54,"Crane (Crow) Pose (16), Dolphin Plank Pose (12), Bow Pose (4), Boat Pose (3), Sınıf Bilinmiyor (3)"
20,Extended Puppy Pose,0.00,0,14,"Bow Pose (6), Child Pose (2), Upward Bow (Wheel) Pose (1), Bridge Pose (1), Downward-Facing Dog (1)"
21,Extended Side Angle Pose,0.00,0,131,"Extended Puppy Pose (92), Sınıf Bilinmiyor (11), Intense Side Stretch Pose (10), Warrior III Pose (7), Reverse Warrior Pose (4)"
22,Extended Triangle Pose,0.00,0,134,"Extended Puppy Pose (72), Intense Side Stretch Pose (17), Sınıf Bilinmiyor (13), Standing Forward Bend (7), Reverse Warrior Pose (6)"
23,Feathered Peacock Pose,4.00,2,50,"Handstand Pose (40), Sınıf Bilinmiyor (2), Crane (Crow) Pose (2), Shoulder-Pressing Pose (2), Bridge Pose (1)"
24,Firefly Pose,0.00,0,55,"Crane (Crow) Pose (12), Standing Forward Bend (9), Sınıf Bilinmiyor (6), Split Pose (4), Bow Pose (4)"
25,Fish Pose,9.86,7,71,"Camel Pose (13), Bow Pose (13), Corpse Pose (11), Sınıf Bilinmiyor (8), Child Pose (6)"
26,Four-Limbed Staff Pose,3.85,2,52,"Plank Pose (41), Dolphin Plank Pose (5), Sınıf Bilinmiyor (3), Side-Reclining Leg Lift Pose (1)"
27,Frog Pose,0.00,0,45,"Bound Angle Pose (12), Sınıf Bilinmiyor (5), Camel Pose (4), Intense Side Stretch Pose (4), Extended Puppy Pose (4)"
28,Garland Pose,10.17,6,59,"Bound Angle Pose (9), Sınıf Bilinmiyor (9), Child Pose (6), Heron Pose (6), Bow Pose (4)"
29,Gate Pose,3.45,1,29,"Extended Puppy Pose (19), Reverse Warrior Pose (2), Intense Side Stretch Pose (2), Sınıf Bilinmiyor (2), Split Pose (1)"
30,Half Lord of the Fishes Pose,7.50,6,80,"Bound Angle Pose (28), Seated Forward Bend (20), Sınıf Bilinmiyor (8), Happy Baby Pose (3), Split Pose (3)"
31,Half Moon Pose,0.00,0,59,"Extended Puppy Pose (13), Warrior III Pose (13), Crane (Crow) Pose (7), Standing Forward Bend (6), Half Lord of the Fishes Pose (6)"
32,Handstand Pose,94.00,47,50,"Headstand Pose (2), Sınıf Bilinmiyor (1)"
33,Happy Baby Pose,34.29,12,35,"Bound Angle Pose (9), Sınıf Bilinmiyor (5), Bow Pose (3), Reclining Hand-to-Big-Toe Pose (2), Camel Pose (1)"
