path,level1_response,main_category,main_category_id,level2_response,subcategory,subcategory_id,level3_response,specific_pose,specific_pose_id,true_class_id,true_class_name
Akarna_Dhanurasana/16.jpg,"Description: The person is in a seated position with their legs crossed.
Main Category: 1. Sitting",Sitting,1,"Description: The man is in the Pura akarna Dhanurasana pose.
Subcategory: 6. Sitting - Split",Sitting - Split,6,58. Split Pose,,Bilinmiyor,0,Akarna Dhanurasana
Akarna_Dhanurasana/95.jpg,"Description: Person is lying on stomach, arms extended to the side
Main Category: Balancing",Balancing,2,"Description: The specific body position is a seated cross legged balance pose.
Subcategory: 9. Balancing - Front",Balancing - Front,9,11. Cockerel Pose,,Bilinmiyor,0,Akarna Dhanurasana
Akarna_Dhanurasana/263.jpg,"Description: The man is laying on his stomach with his legs extended outward.
Main Category: Balancing",Balancing,2,"Description: The man is bending over his head with his hands on the ground.
Subcategory: 9. Balancing - Front",Balancing - Front,9,"Description: A man stretching his legs on the sand while holding his hands together in front of him.
Specific Pose: Cockerel Pose",Cockerel Pose,11,0,Akarna Dhanurasana
Akarna_Dhanurasana/110.jpg,"Description: Person is standing, weight primarily on feet
Main Category: Standing",Standing,0,Description: Standing - Straight,,Bilinmiyor,"Description: Warrior II
Specific Pose: Warrior II",Warrior II,Bilinmiyor,0,Akarna Dhanurasana
Akarna_Dhanurasana/21.jpg,"Description: The woman is in a seated position with her legs crossed in front of her.
Main Category: Sitting",Sitting,1,"Description: legs in front
Subcategory: 4. Sitting - Normal1",4. Sitting - Normal1,Bilinmiyor,Description: Legs up the wall pose,,Bilinmiyor,0,Akarna Dhanurasana
Akarna_Dhanurasana/55.jpg,"Description: The man is standing on one leg and bending his other leg behind him, with his hands resting on his knees.
Main Category: Standing",Standing,0,"Description: The man is in a squatting position on the floor.
Subcategory: Standing - Others",Standing - Others,3,Description: Standing with arms raised,,Bilinmiyor,0,Akarna Dhanurasana
Akarna_Dhanurasana/34.jpg,"Description: Person is balancing on hands
Main Category: Balancing",Balancing,2,"Description: Standing on one leg
Subcategory: 9. Balancing - Front",Balancing - Front,9,Cockerel Pose,,Bilinmiyor,0,Akarna Dhanurasana
Akarna_Dhanurasana/107.jpg,"Description: The person is seated on the ground with knees bent and arms outstretched.
Main Category: 1. Sitting",Sitting,1,Subcategory: 4. Sitting - Normal1 (legs in front),Sitting - Normal1 (legs in front),4,"Description: Garland Pose
Specific Pose: Garland Pose",Garland Pose,28,0,Akarna Dhanurasana
Akarna_Dhanurasana/92.jpg,HATA: cannot identify image file '/home/gpu1/computer_vision/micro-action-recognition/Yoga-82/dataset/Akarna_Dhanurasana/92.jpg',,,,,,,,,0,Akarna Dhanurasana
Akarna_Dhanurasana/39.jpg,"Description: The man is lying down on his stomach.
Main Category: 5. Reclining - Person is lying down on back, stomach or side",Reclining,4,"Description: The man is lying on his back, with his legs crossed and his arms out to the sides.
Subcategory: 15. Reclining - Side facing",Reclining - Side facing,15,"Description: Side Plank Pose
Specific Pose: Side Plank Pose",Plank Pose,44,0,Akarna Dhanurasana
Akarna_Dhanurasana/680.jpg,"Description: A woman in an orange swimsuit is seated on the floor with her legs crossed.
Main Category: 1. Sitting",Sitting,1,"Description: The woman is sitting on a yoga mat with her legs crossed in front of her.
Subcategory: 4. Sitting - Normal1 (legs in front)",Sitting - Normal1 (legs in front),4,"Description: Garland Pose
Specific Pose: Garland Pose",Garland Pose,28,0,Akarna Dhanurasana
Akarna_Dhanurasana/87.jpg,"Description: The man is bending his knees and is on his hands and knees 
Main Category: Standing",Standing,0,"Description: The man is bending his knees and holding his hands together .
Subcategory: 2. Standing - Side bend",Standing - Side bend,2,"Description: The man is performing a standing yoga pose with his legs spread wide apart, reaching his arms up to the sky in a beautiful display of strength and balance.
Specific Pose: 21. Extended Side Angle Pose",Extended Side Angle Pose,21,0,Akarna Dhanurasana
Akarna_Dhanurasana/160.jpg,"Description: Person is balancing on hands
Main Category: Balancing",Balancing,2,"Description: The body position is a person in a yoga pose, likely a balancing pose.
Subcategory: 9. Balancing - Front",Balancing - Front,9,11. Cockerel Pose,,Bilinmiyor,0,Akarna Dhanurasana
Bharadvaja's_Twist_pose_or_Bharadvajasana_I_/40.jpg,"Description: Person is sitting on the ground
Main Category: Sitting",Sitting,1,Description: Legs behind,,Bilinmiyor,"Description: Child's pose
Specific Pose: Child's pose",Child's pose,Bilinmiyor,1,Bharadvaja's Twist
Bharadvaja's_Twist_pose_or_Bharadvajasana_I_/8.jpg,"Description: Person is sitting on the ground with hands touching knees
Main Category: Sitting",Sitting,1,"Description: Legs in front
Subcategory: 4. Sitting - Normal1",4. Sitting - Normal1,Bilinmiyor,"Description: A seated pose that involves crossing the legs and placing the hands on the knees.
Specific Pose: Cross-Legged Seated",Cross-Legged Seated,Bilinmiyor,1,Bharadvaja's Twist
Bharadvaja's_Twist_pose_or_Bharadvajasana_I_/635.jpg,"Description: Person is sitting on the ground with hands on knees 
Main Category: Balancing",Balancing,2,"Description: The man is sitting on his knees with his hands on his knees, holding his body in a balanced position.
Subcategory: Balancing - Front",Balancing - Front,9,"Description: A man with long hair sitting on a mat with his legs crossed and hands touching the floor.
Specific Pose: Balancing - Balancing - Front yoga pose",Balancing - Balancing - Front yoga pose,Bilinmiyor,1,Bharadvaja's Twist
Bharadvaja's_Twist_pose_or_Bharadvajasana_I_/126.jpg,"Description: Person is seated on a mat with legs crossed
Main Category: Sitting",Sitting,1,"Description: The woman is sitting with her legs crossed.
Subcategory: 4. Sitting - Normal1 (legs in front)",Sitting - Normal1 (legs in front),4,"Description: Noose Pose
Specific Pose: Noose Pose",Noose Pose,41,1,Bharadvaja's Twist
